Codigo,Descrição,Data,Quantidade,Valor,Setor
31_000001092,LIXA P/FERRO 100,2025-01-02 04:21:03,4.0,10.64,173
31_000028142,INSERTO CCMT 09T304-LS MP 9015,2025-01-02 04:45:36,10.0,120.9,131
31_000027604,"INSERTO TCD 114 P TT 9080 Ø 11,4",2025-01-02 04:45:36,1.0,215.81,131
31_000013248,INSERTO TPMH 080204 MV UE6020,2025-01-02 04:45:36,3.0,31.77,131
31_000013246,INSERTO TNMG 160408 MA UE6020,2025-01-02 04:45:36,3.0,46.44,131
31_000003045,INSERTO TNMG 160404-SA UE 6105,2025-01-02 05:41:02,3.0,46.32,135
31_000018206,LOGOTIPO MARC. MÊS E ANO 2025 FI-251-CT,2025-01-02 05:59:11,1.0,50.62,173
31_000028856,INSERTO CCMT 060204 LS MP9005,2025-01-02 06:41:18,3.0,39.57,124
31_000021908,"DISCO CORTE 115x1,0x22 AI ABF-4 P/ INOX",2025-01-02 06:46:55,30.0,91.2,450
31_000027764,INSERTO GIMIY 304  IC808,2025-01-02 07:13:33,10.0,403.2,148
31_000018219,PARAFUSO SR 76-1021,2025-01-02 07:13:33,2.0,52.36,148
31_000028728,INSERTO WNMA 080412 AC4015K SUMITOMO,2025-01-02 07:13:33,4.0,83.96,148
31_000028648,INSERTO GY2M0635J318N-BM MY5015,2025-01-02 07:13:33,4.0,210.0,148
31_000025636,INSERTO SOMX 084005-UM MC5020,2025-01-02 07:13:33,8.0,126.48,148
31_000027975,INSERTO WNMG 080408 MW UC5105,2025-01-02 07:13:33,6.0,125.04,148
31_000012717,INSERTO TCMT 110204-SM IC908,2025-01-02 07:24:14,2.0,40.8,126
31_000028671,INSERTO TNMG 160412 SA MC6115,2025-01-02 07:24:14,2.0,33.24,126
31_000023054,INSERTO CCMT 09T304-MM MC7025,2025-01-02 07:24:14,5.0,59.8,126
31_000028639,INSERTO GY2M0300F080N-MM VP20RT,2025-01-02 07:24:55,3.0,118.83,133
31_000008851,PARAFUSO SR 14-551 P/CALÇO SVJNL-11,2025-01-02 07:39:59,2.0,43.94,133
31_000008769,INSERTO VNMG 12T304-NF IC907,2025-01-02 07:39:59,4.0,148.56,133
31_000023736,INSERTO WNMG 080408-MA MC6015,2025-01-02 07:56:19,3.0,62.25,127
31_000028905,INSERTO CCMT09T308N SU AC8025P,2025-01-02 07:56:19,4.0,69.56,127
31_000026158,INSERTO CCMT 060204 WP PV720,2025-01-02 07:56:19,4.0,65.16,127
31_000022374,FRESA VF2XLBR 0100N120S06,2025-01-02 08:38:26,1.0,149.15,474
31_000020767,INSERTO TGMF 304 IC808 - ISCAR,2025-01-02 11:14:56,5.0,221.05,157
31_000006112,INSERTO PENTA 24N247 JO20 IC908,2025-01-02 11:14:56,5.0,674.7,157
31_000018867,INSERTO SOMX 070305-DT IC808,2025-01-02 11:14:56,7.0,326.41,157
31_000012717,INSERTO TCMT 110204-SM IC908,2025-01-02 11:14:56,2.0,40.8,157
31_000023789,INSERTO GY2M0400G080N-MM VP20RT,2025-01-02 11:20:19,6.0,217.2,157
31_000018867,INSERTO SOMX 070305-DT IC808,2025-01-02 11:20:19,4.0,186.52,157
31_000012717,INSERTO TCMT 110204-SM IC908,2025-01-02 11:20:19,2.0,40.8,157
31_000006112,INSERTO PENTA 24N247 JO20 IC908,2025-01-02 11:20:19,2.0,269.88,157
31_000001480,LIXA FITA R.986 GRAO 60 MED.1500X50,2025-01-02 13:03:54,10.0,149.8,172
31_000023720,INSERTO GY2M0400G040N-MM VP20RT,2025-01-02 13:29:31,20.0,723.8,131
31_000013246,INSERTO TNMG 160408 MA UE6020,2025-01-02 13:29:31,5.0,77.4,131
31_000028905,INSERTO CCMT09T308N SU AC8025P,2025-01-02 13:29:31,9.0,156.51,131
31_000001948,CHAVE TORX T-15 5680.049-01,2025-01-02 13:33:10,1.0,16.65,133
31_000015193,CHAVE TORX  TKY08F,2025-01-02 13:33:10,1.0,16.22,133
31_000008850,CHAVE TORX T10/5 P/INSERTO LNMX-11,2025-01-02 13:33:10,1.0,16.71,133
31_000021422,INSERTO SONX 1206PER VP15TF,2025-01-02 13:39:02,10.0,440.0,471
31_000025541,"BROCA MD Ø 14,1X65XD14X115L ALCRONA",2025-01-02 13:46:04,2.0,775.0,113
31_000021024,INSERTO TNGX 110308S-01020-WZ CBN010,2025-01-02 14:11:38,1.0,567.02,161
31_000022880,"BROCA CENTRO HSS FORM A 60 A201  2,0x6,0",2025-01-02 14:30:32,1.0,41.08,125
31_000021024,INSERTO TNGX 110308S-01020-WZ CBN010,2025-01-02 15:29:37,1.0,567.02,161
31_000013246,INSERTO TNMG 160408 MA UE6020,2025-01-02 16:02:01,1.0,15.48,155
31_000008769,INSERTO VNMG 12T304-NF IC907,2025-01-02 16:02:01,2.0,74.28,155
31_000022901,INSERTO TNMG 160412-SA UE6105,2025-01-02 16:02:01,2.0,29.0,155
31_000027764,INSERTO GIMIY 304  IC808,2025-01-02 16:02:01,1.0,40.32,155
31_000010759,INSERTO VNMG 12T308-NF IC907,2025-01-02 16:02:01,8.0,279.68,155
31_000028142,INSERTO CCMT 09T304-LS MP 9015,2025-01-02 18:16:14,1.0,12.09,131
31_000013246,INSERTO TNMG 160408 MA UE6020,2025-01-02 18:16:14,2.0,30.96,131
31_000003045,INSERTO TNMG 160404-SA UE 6105,2025-01-02 18:16:14,2.0,30.88,131
31_000023789,INSERTO GY2M0400G080N-MM VP20RT,2025-01-02 18:16:14,3.0,108.6,131
31_000028905,INSERTO CCMT09T308N SU AC8025P,2025-01-02 18:16:14,4.0,69.56,131
31_000012717,INSERTO TCMT 110204-SM IC908,2025-01-02 18:19:53,2.0,40.8,157
31_000006112,INSERTO PENTA 24N247 JO20 IC908,2025-01-02 18:19:53,2.0,269.88,157
31_000020767,INSERTO TGMF 304 IC808 - ISCAR,2025-01-02 18:19:53,3.0,132.63,157
31_000001948,CHAVE TORX T-15 5680.049-01,2025-01-02 18:49:45,1.0,16.65,474
