"Ordem","Material","Texto breve material","Centro","Motivo do movimento","Centro custo","Qtd.  UM registro","Montante em MI","Depósito","Tipo de movimento","Estoque especial","Doc.material","Item doc.material","Data de lançamento","UM registro","Pedido","Texto cab.documento","Hora do registro","Lote","Referência","Txt.tipo movimento","Quantidade","Nome do usuário","Fornecedor",
"","31_000008767","INSERTO WNMG 06T308 MP MC6015","3110","0","3100129","-3","-32.37","1070","201","","4919588642","2","2025-07-06","PC","","","23:36:48","","","SM para centro custo","-3","310004188","",
"","31_000012419","LIMA ROTATIVA  SKM 0613 3S Z3P","3110","0","3100129","-1","-94.48","1070","201","","4919588642","1","2025-07-06","PC","","","23:36:48","","","SM para centro custo","-1","310004188","",
"","31_000025460","BROCA MD Ø 12,5X45XD12X90L FUT TOP","3110","0","3100129","-1","-217.69","1070","201","","4919588642","5","2025-07-06","PC","","","23:36:48","","","SM para centro custo","-1","310004188","",
"","31_000025808","INSERTO WNMG 06T304-MS US7020","3110","0","3100129","-3","-31.53","1070","201","","4919588642","4","2025-07-06","PC","","","23:36:48","","","SM para centro custo","-3","310004188","",
"","31_000028555","INSERTO TNMG 160412 UR YG3020 (YG1)","3110","0","3100129","-4","-111.72","1070","201","","4919588642","3","2025-07-06","PC","","","23:36:48","","","SM para centro custo","-4","310004188","",
"","31_000006000","INSERTO DNMG 150604-LP MC6015","3110","0","3100122","-6","-172.26","1070","201","","4919512691","2","2025-07-04","PC","","","23:36:21","","","SM para centro custo","-6","310004188","",
"","31_000022677","PINO DO CALÇO PI36185 ( CCP33 ) p/ MTJNR","3110","0","3100173","-1","-32.91","1070","201","","4919512691","4","2025-07-04","PC","","","23:36:21","","","SM para centro custo","-1","310004188","",
"","31_000027158","INSERTO CNMG 120412-RK MC5005","3110","0","3100122","-9","-163.71","1070","201","","4919512691","1","2025-07-04","PC","","","23:36:21","","","SM para centro custo","-9","310004188","",
"","31_000028728","INSERTO WNMA 080412 AC4015K SUMITOMO","3110","0","3100122","-6","-127.20","1070","201","","4919512691","3","2025-07-04","PC","","","23:36:21","","","SM para centro custo","-6","310004188","",
"","31_000000346","DISCO DE CORTE 230X2X32MM SK6AA","3110","0","3100172","-4","-58.16","1070","201","","4919512458","1","2025-07-04","PC","","","23:31:46","","","SM para centro custo","-4","310004188","",
