"Cen.","Ordem","Material","Nº material para ordem","Qtd.boa confirm.","Entry Date(Local)","Entry Time(Local)","CenTrab","Turno","Nº pessoal","Lote","Entrado por","Lot No.","Texto de confirmação","Comment","Dt.lçto.","Entry Date-Time (Local)","Dt.entrada","Hora","UMB","Equipam.","Raw Mat. Lot","Planejador MRP","Unidade comercial",
"3110","100018935674","4H69420U1","Usin. 1 Bucha do Bal. KRET HONDA","1494","2025-07-01","18:20:47","12601","2","313634","0035119782","3100W001","","","","2025-07-01","20250701-182047","2025-07-01","17:20:47","PC","","","101","",
"3110","100018943755","4H69420U1","Usin. 1 Bucha do Bal. KRET HONDA","1499","2025-07-02","11:28:21","12601","1","313645","0035190357","3100W001","","","","2025-07-02","20250702-112821","2025-07-02","10:28:21","PC","","","101","",
"3110","100018955022","4H69420U1","Usin. 1 Bucha do Bal. KRET HONDA","1500","2025-07-03","09:50:37","12601","1","313645","0035207617","3100W001","","","","2025-07-03","20250703-095037","2025-07-03","08:50:37","PC","","","101","",
"3110","100018955023","4H69420U1","Usin. 1 Bucha do Bal. KRET HONDA","76","2025-07-03","09:51:08","12601","1","313645","0035207620","3100W001","","","","2025-07-03","20250703-095108","2025-07-03","08:51:08","PC","","","101","",
"3110","100018960030","4H69420U1","Usin. 1 Bucha do Bal. KRET HONDA","1497","2025-07-03","22:07:22","12601","3","313562","0035215220","3100W001","","","","2025-07-03","20250703-220722","2025-07-03","21:07:22","PC","","","101","",
"3110","100018965550","4H69420U1","Usin. 1 Bucha do Bal. KRET HONDA","1499","2025-07-04","10:19:15","12601","1","313645","0035226427","3100W001","","","","2025-07-04","20250704-101915","2025-07-04","09:19:15","PC","","","101","",
"3110","100018969780","4H69420U1","Usin. 1 Bucha do Bal. KRET HONDA","1500","2025-07-04","23:53:58","12601","3","313562","0035232436","3100W001","","","","2025-07-04","20250704-235358","2025-07-04","22:53:58","PC","","","101","",
"3110","100018969781","4H69420U1","Usin. 1 Bucha do Bal. KRET HONDA","4","2025-07-04","23:56:03","12601","3","313562","0035232448","3100W001","","","","2025-07-04","20250704-235603","2025-07-04","22:56:03","PC","","","101","",
"3110","100018972336","4H69420U1","Usin. 1 Bucha do Bal. KRET HONDA","1496","2025-07-05","12:45:26","12601","1","313645","0035237294","3100W001","","","","2025-07-05","20250705-124526","2025-07-05","11:45:26","PC","","","101","",
"3110","100018974625","4H69420U1","Usin. 1 Bucha do Bal. KRET HONDA","1500","2025-07-06","03:04:12","12601","3","313562","0035240086","3100W001","","","","2025-07-06","20250706-030412","2025-07-06","02:04:12","PC","","","101","",
"3110","100018979514","4H69420U1","Usin. 1 Bucha do Bal. KRET HONDA","1500","2025-07-06","20:50:31","12601","2","312818","0035246063","3100W029","","","","2025-07-06","20250706-205031","2025-07-06","19:50:31","PC","","","101","",
"3110","100018969781","4H69420U1","Usin. 1 Bucha do Bal. KRET HONDA","84","2025-07-06","20:51:50","12601","2","312818","0035232448","3100W029","","","","2025-07-06","20250706-205150","2025-07-06","19:51:50","PC","","","101","",
"3110","100018969781","4H69420U1","Usin. 1 Bucha do Bal. KRET HONDA","702","2025-07-07","09:36:51","12601","1","313645","0035232448","3100W001","","","","2025-07-07","20250707-093651","2025-07-07","08:36:51","PC","","","101","",
"3110","100018969781","4H69420U1","Usin. 1 Bucha do Bal. KRET HONDA","710","2025-07-08","05:24:10","12601","3","313634","0035232448","3100W001","","","","2025-07-08","20250708-052410","2025-07-08","04:24:10","PC","","","101","",
"3110","100018995021","4H69420U1","Usin. 1 Bucha do Bal. KRET HONDA","850","2025-07-08","05:25:47","12601","3","313634","0035272523","3100W001","","","","2025-07-08","20250708-052547","2025-07-08","04:25:47","PC","","","101","",
"3110","100019001850","4H69420U1","Usin. 1 Bucha do Bal. KRET HONDA","1500","2025-07-08","20:53:43","12601","2","312818","0035282960","3100W001","","","","2025-07-08","20250708-205343","2025-07-08","19:53:43","PC","","","101","",
"3110","100018995021","4H69420U1","Usin. 1 Bucha do Bal. KRET HONDA","650","2025-07-09","09:53:05","12601","1","313562","0035272523","3100W001","","","","2025-07-09","20250709-095305","2025-07-09","08:53:05","PC","","","101","",
"3110","100019007872","4H69420U1","Usin. 1 Bucha do Bal. KRET HONDA","690","2025-07-09","10:00:34","12601","1","313562","0035294173","3100W001","","","","2025-07-09","20250709-100034","2025-07-09","09:00:34","PC","","","101","",
"3110","100019007872","4H69420U1","Usin. 1 Bucha do Bal. KRET HONDA","810","2025-07-10","03:15:24","12601","3","313634","0035294173","3100W001","","","","2025-07-10","20250710-031524","2025-07-10","02:15:24","PC","","","101","",
"3110","100019015524","4H69420U1","Usin. 1 Bucha do Bal. KRET HONDA","750","2025-07-10","03:18:24","12601","3","313634","0035306855","3100W001","","","","2025-07-10","20250710-031824","2025-07-10","02:18:24","PC","","","101","",
"3110","100019018746","4H69420U1","Usin. 1 Bucha do Bal. KRET HONDA","896","2025-07-10","10:11:59","12601","1","313562","0035311925","3100W001","","","","2025-07-10","20250710-101159","2025-07-10","09:11:59","PC","","","101","",
"3110","100019015524","4H69420U1","Usin. 1 Bucha do Bal. KRET HONDA","750","2025-07-11","07:11:38","12601","1","313562","0035306855","3100W001","","","","2025-07-11","20250711-071138","2025-07-11","06:11:38","PC","","","101","",
